,DMI
1966-04-01,0.10717533966235537
1966-05-01,-0.2732784414629138
1966-06-01,0.6723832708499589
1966-07-01,0.6125822819248198
1966-08-01,1.5484652001340975
1966-09-01,0.9679690861329271
1966-10-01,0.014635550651210721
1966-11-01,-0.36845164244325734
1966-12-01,0.3033229164022517
1967-01-01,-0.35352268606895765
1967-02-01,-0.23497200616549963
1967-03-01,1.3173124279003559
1967-04-01,0.571999274573862
1967-05-01,0.6659596425513544
1967-06-01,1.5076094265400461
1967-07-01,1.5583047480545091
1967-08-01,1.2614074526276515
1967-09-01,1.815785451063391
1967-10-01,1.9365146966892164
1967-11-01,1.2189446966288608
1967-12-01,0.6587913832898233
1968-01-01,0.1797497601846756
1968-02-01,1.083176345505998
1968-03-01,0.1604584377479814
1968-04-01,0.09417163920096816
1968-05-01,0.16146069999245022
1968-06-01,0.657378945981646
1968-07-01,0.37229548571271753
1968-08-01,0.023349974707350563
1968-09-01,-0.7068340780617841
1968-10-01,-0.2910755838822371
1968-11-01,-0.45825718760165046
1968-12-01,-0.33447297682097193
1969-01-01,0.135860014592589
1969-02-01,-0.16921794456053152
1969-03-01,0.3992682628143736
1969-04-01,0.025699432422234048
1969-05-01,-0.2792790412008139
1969-06-01,-0.7588107836508513
1969-07-01,-0.7606779132027766
1969-08-01,-0.5490333765671325
1969-09-01,0.0017050710865221252
1969-10-01,1.2262458270226955
1969-11-01,0.5513812154279683
1969-12-01,0.3300046865453481
1970-01-01,0.7104161818409307
1970-02-01,0.2962112824595242
1970-03-01,0.5505558736142021
1970-04-01,0.6405032700792206
1970-05-01,0.9016263947981609
1970-06-01,-0.37337572238898076
1970-07-01,-0.0869290095887803
1970-08-01,0.2544201142683287
1970-09-01,-0.5310523850839282
1970-10-01,-0.9600470673816184
1970-11-01,-0.6048905635435242
1970-12-01,-0.4271463428244885
1971-01-01,0.3717667845862609
1971-02-01,0.12398197748725992
1971-03-01,0.8831039064737368
1971-04-01,1.3848019563948877
1971-05-01,0.6264135607614488
1971-06-01,0.10199083595919567
1971-07-01,-0.1330873306010843
1971-08-01,-1.017715580852005
1971-09-01,-0.694433460647819
1971-10-01,-1.2866652733483748
1971-11-01,0.12165842119632869
1971-12-01,0.6276347511208782
1972-01-01,1.0081601868103316
1972-02-01,-0.1482910260807849
1972-03-01,0.5651787195605427
1972-04-01,0.39456326266254005
1972-05-01,1.135048872326238
1972-06-01,2.1794637693800736
1972-07-01,1.647766787248238
1972-08-01,1.5556147316974114
1972-09-01,2.0617805010315524
1972-10-01,2.001026399165302
1972-11-01,1.9701651456822744
1972-12-01,1.1420125186099024
1973-01-01,0.564139813734958
1973-02-01,-0.44900348235119214
1973-03-01,0.3803213908358646
1973-04-01,0.17846661487329063
1973-05-01,0.5074069969080366
1973-06-01,0.05647765352592893
1973-07-01,-0.03375438584097501
1973-08-01,-0.7008183576410929
1973-09-01,-0.9422826614109645
1973-10-01,-0.4636816437273369
1973-11-01,-0.1706675758794328
1973-12-01,-0.21525515663390304
1974-01-01,0.5853677390179022
1974-02-01,1.0410023527052186
1974-03-01,1.3727527783945919
1974-04-01,0.6564296088278451
1974-05-01,0.21968827463439672
1974-06-01,0.9749865348003164
1974-07-01,0.15560705879238537
1974-08-01,-0.06652618486425294
1974-09-01,-0.8163925401124406
1974-10-01,-0.6619956297722338
1974-11-01,-0.5822575044916601
1974-12-01,-0.48593462189482994
1975-01-01,-1.410048698800919
1975-02-01,-0.19304685760417106
1975-03-01,-0.5457636234804057
1975-04-01,0.49867776415920334
1975-05-01,0.20198776304705557
1975-06-01,1.0855403202690102
1975-07-01,1.027381750197605
1975-08-01,-0.3673149626473658
1975-09-01,-1.6991746992630703
1975-10-01,-2.045771192233629
1975-11-01,-0.9597652850166474
1975-12-01,-0.048438322176571735
1976-01-01,0.029236353555805228
1976-02-01,0.26443800543927565
1976-03-01,0.6912394922600201
1976-04-01,0.4584372814086075
1976-05-01,0.5701311366363435
1976-06-01,1.4782744350336343
1976-07-01,2.189330860078857
1976-08-01,1.2537018325898148
1976-09-01,0.21914621041182508
1976-10-01,-0.2907334498863585
1976-11-01,-0.27893688997639726
1976-12-01,0.7986518971929977
1977-01-01,0.4483061560679738
1977-02-01,-0.07087392180823895
1977-03-01,0.49110205029252973
1977-04-01,0.059118951426737454
1977-05-01,-0.21153785975541103
