,east,west,dmi
1954-03-01,-0.5251427626996915,-0.08133582574643264,0.4438069369532589
1954-04-01,-1.02987426777376,-0.007629844035774713,1.0222444237379853
1954-05-01,-0.5420552725976288,-0.16846174498897967,0.37359352760864906
1954-06-01,-0.6456128787172405,-0.5466484878064263,0.09896439091081422
1954-07-01,-0.25697183812250046,-1.1446731300520165,-0.8877012919295161
1954-08-01,-0.370522759293617,-1.1962864473206778,-0.8257636880270608
1954-09-01,-0.2575658124523442,-1.6676924864221774,-1.4101266739698333
1954-10-01,-0.2978154525506194,-2.0203559909554647,-1.7225405384048453
1954-11-01,-1.1017875884227817,-1.235814438400612,-0.13402684997783032
1954-12-01,-0.43243306735105425,-1.074784817248421,-0.6423517498973667
1955-01-01,-0.06566482840470744,-0.5110209770155973,-0.4453561486108899
1955-02-01,-0.3666764724597466,-1.0952116248190833,-0.7285351523593366
1955-03-01,-0.8529802269985198,-0.9287851409627255,-0.07580491396420563
1955-04-01,-1.0953690290829328,-0.944708036468153,0.15066099261477972
1955-05-01,-0.9413514853542717,-1.780895645675266,-0.8395441603209943
1955-06-01,-1.1689891167858748,-1.7955404213229564,-0.6265513045370816
1955-07-01,-0.8514068011206869,-1.226829724423272,-0.3754229233025851
1955-08-01,-0.8588060242010349,-0.6107714593531987,0.24803456484783626
1955-09-01,0.06027106363992,-1.0234584510477693,-1.0837295146876893
1955-10-01,-0.2582131232526245,-1.4513647624747503,-1.1931516392221257
1955-11-01,-1.2884531130202177,-0.7864567692809463,0.5019963437392714
1955-12-01,-0.98155627432968,-0.6254078896678154,0.3561483846618646
1956-01-01,-1.1409644381498054,-0.38761275931025224,0.7533516788395531
1956-02-01,-1.247128258165674,-0.6322959991974572,0.6148322589682168
1956-03-01,-0.31265753764167076,-0.4848776162891607,-0.17222007864748995
1956-04-01,-0.24731914916627334,-0.7415120150872082,-0.49419286592093487
1956-05-01,-0.7427943522348482,-1.7086764171491982,-0.9658820649143499
1956-06-01,-0.5209510010005034,-1.6718433267035067,-1.1508923257030033
1956-07-01,-0.42032690075481727,-1.666500387689974,-1.2461734869351568
1956-08-01,-0.7191978128373963,-0.8809484078844546,-0.16175059504705835
1956-09-01,0.006558813526845238,-1.2526726531590398,-1.259231466685885
1956-10-01,-0.14857031073338234,-1.456545288467686,-1.3079749777343035
1956-11-01,0.015259931362810866,-0.9469567827572799,-0.9622167141200908
1956-12-01,-0.25500444967895375,-0.7378965600200188,-0.48289211034106505
1957-01-01,0.46378449413845907,-0.6465235081914414,-1.1103080023299006
1957-02-01,0.2696882294554173,-0.4372270483333121,-0.7069152777887294
1957-03-01,-0.3251673643437003,-0.15026185745171206,0.17490550689198825
1957-04-01,-0.23942777592691153,0.16330825527019352,0.40273603119710505
